,city,category,Name,lat,lng,points,points-lng-lat,geometry
0,Paris,web design company,"Graphiste Print, Web et Motion Design - Serguei Tchepik",48.89055393065069,2.3392832279205322,"{'type': 'Point', 'coordinates': [48.89055393065069, 2.3392832279205322]}","{'type': 'Point', 'coordinates': [2.3392832279205322, 48.89055393065069]}",POINT (2.339283227920532 48.89055393065069)
1,Paris,web design company,Laurane Torrijos • Graphiste • Designer Graphique & Web,48.88689971942319,2.3412466049194336,"{'type': 'Point', 'coordinates': [48.88689971942319, 2.3412466049194336]}","{'type': 'Point', 'coordinates': [2.3412466049194336, 48.88689971942319]}",POINT (2.341246604919434 48.88689971942319)
2,Paris,starbucks,Starbucks,48.87537450706946,2.323629856109619,"{'type': 'Point', 'coordinates': [48.87537450706946, 2.323629856109619]}","{'type': 'Point', 'coordinates': [2.323629856109619, 48.87537450706946]}",POINT (2.323629856109619 48.87537450706946)
3,Paris,starbucks,Starbucks,48.87142632601174,2.3043715953826904,"{'type': 'Point', 'coordinates': [48.87142632601174, 2.3043715953826904]}","{'type': 'Point', 'coordinates': [2.3043715953826904, 48.87142632601174]}",POINT (2.30437159538269 48.87142632601174)
4,Paris,starbucks,Starbucks,48.87462087092641,2.3210504834301897,"{'type': 'Point', 'coordinates': [48.87462087092641, 2.3210504834301897]}","{'type': 'Point', 'coordinates': [2.3210504834301897, 48.87462087092641]}",POINT (2.32105048343019 48.87462087092641)
5,Paris,starbucks,Starbucks,48.870636299581186,2.3335862159729004,"{'type': 'Point', 'coordinates': [48.870636299581186, 2.3335862159729004]}","{'type': 'Point', 'coordinates': [2.3335862159729004, 48.870636299581186]}",POINT (2.3335862159729 48.87063629958119)
6,Paris,starbucks,Starbucks,48.87637514186802,2.3267678630713697,"{'type': 'Point', 'coordinates': [48.87637514186802, 2.3267678630713697]}","{'type': 'Point', 'coordinates': [2.3267678630713697, 48.87637514186802]}",POINT (2.32676786307137 48.87637514186802)
7,Paris,starbucks,Starbucks,48.87011725350605,2.327781915664673,"{'type': 'Point', 'coordinates': [48.87011725350605, 2.327781915664673]}","{'type': 'Point', 'coordinates': [2.327781915664673, 48.87011725350605]}",POINT (2.327781915664673 48.87011725350605)
8,Paris,starbucks,Starbucks,48.87294177283379,2.3347583413124084,"{'type': 'Point', 'coordinates': [48.87294177283379, 2.3347583413124084]}","{'type': 'Point', 'coordinates': [2.3347583413124084, 48.87294177283379]}",POINT (2.334758341312408 48.87294177283379)
9,Paris,starbucks,Starbucks,48.86731904028564,2.3340073227882385,"{'type': 'Point', 'coordinates': [48.86731904028564, 2.3340073227882385]}","{'type': 'Point', 'coordinates': [2.3340073227882385, 48.86731904028564]}",POINT (2.334007322788239 48.86731904028564)
10,Paris,starbucks,Starbucks,48.87328343430814,2.3099236711828905,"{'type': 'Point', 'coordinates': [48.87328343430814, 2.3099236711828905]}","{'type': 'Point', 'coordinates': [2.3099236711828905, 48.87328343430814]}",POINT (2.309923671182891 48.87328343430814)
11,Paris,starbucks,Starbucks Coffee - niveau quai,48.876258,2.325292,"{'type': 'Point', 'coordinates': [48.876258, 2.325292]}","{'type': 'Point', 'coordinates': [2.325292, 48.876258]}",POINT (2.325292 48.876258)
12,Paris,starbucks,Starbucks Coffee - niveau métro,48.876258,2.325292,"{'type': 'Point', 'coordinates': [48.876258, 2.325292]}","{'type': 'Point', 'coordinates': [2.325292, 48.876258]}",POINT (2.325292 48.876258)
13,Paris,starbucks,Starbucks,48.876681,2.326905,"{'type': 'Point', 'coordinates': [48.876681, 2.326905]}","{'type': 'Point', 'coordinates': [2.326905, 48.876681]}",POINT (2.326905 48.876681)
14,Paris,starbucks,Starbucks,48.875322923964795,2.327172057031885,"{'type': 'Point', 'coordinates': [48.875322923964795, 2.327172057031885]}","{'type': 'Point', 'coordinates': [2.327172057031885, 48.875322923964795]}",POINT (2.327172057031885 48.8753229239648)
15,Paris,starbucks,Starbucks,48.86343198132279,2.334173619747162,"{'type': 'Point', 'coordinates': [48.86343198132279, 2.334173619747162]}","{'type': 'Point', 'coordinates': [2.334173619747162, 48.86343198132279]}",POINT (2.334173619747162 48.86343198132279)
16,Paris,starbucks,Starbucks,48.874238,2.331868,"{'type': 'Point', 'coordinates': [48.874238, 2.331868]}","{'type': 'Point', 'coordinates': [2.331868, 48.874238]}",POINT (2.331868 48.874238)
17,Paris,starbucks,Starbucks,48.87616,2.29651,"{'type': 'Point', 'coordinates': [48.87616, 2.29651]}","{'type': 'Point', 'coordinates': [2.29651, 48.87616]}",POINT (2.29651 48.87616)
18,Paris,starbucks,Starbucks,48.87422702764881,2.331617851858487,"{'type': 'Point', 'coordinates': [48.87422702764881, 2.331617851858487]}","{'type': 'Point', 'coordinates': [2.331617851858487, 48.87422702764881]}",POINT (2.331617851858487 48.87422702764881)
19,Paris,starbucks,Starbucks,48.87349174830403,2.332004879568136,"{'type': 'Point', 'coordinates': [48.87349174830403, 2.332004879568136]}","{'type': 'Point', 'coordinates': [2.332004879568136, 48.87349174830403]}",POINT (2.332004879568136 48.87349174830403)
20,Paris,starbucks,Starbucks,48.87086493289484,2.34701999607787,"{'type': 'Point', 'coordinates': [48.87086493289484, 2.34701999607787]}","{'type': 'Point', 'coordinates': [2.34701999607787, 48.87086493289484]}",POINT (2.34701999607787 48.87086493289484)
21,Paris,starbucks,Starbucks,48.87607846272829,2.34463904968539,"{'type': 'Point', 'coordinates': [48.87607846272829, 2.34463904968539]}","{'type': 'Point', 'coordinates': [2.34463904968539, 48.87607846272829]}",POINT (2.34463904968539 48.87607846272829)
22,Paris,starbucks,Starbucks,48.85943355462305,2.3059842684391403,"{'type': 'Point', 'coordinates': [48.85943355462305, 2.3059842684391403]}","{'type': 'Point', 'coordinates': [2.3059842684391403, 48.85943355462305]}",POINT (2.30598426843914 48.85943355462305)
23,Paris,starbucks,Starbucks,48.886857,2.340592,"{'type': 'Point', 'coordinates': [48.886857, 2.340592]}","{'type': 'Point', 'coordinates': [2.340592, 48.886857]}",POINT (2.340592 48.886857)
24,Paris,starbucks,Starbucks,48.87625873700749,2.3258714546250028,"{'type': 'Point', 'coordinates': [48.87625873700749, 2.3258714546250028]}","{'type': 'Point', 'coordinates': [2.3258714546250028, 48.87625873700749]}",POINT (2.325871454625003 48.87625873700749)
25,Paris,starbucks,Starbucks,48.8614152859683,2.334155357506821,"{'type': 'Point', 'coordinates': [48.8614152859683, 2.334155357506821]}","{'type': 'Point', 'coordinates': [2.334155357506821, 48.8614152859683]}",POINT (2.334155357506821 48.8614152859683)
26,Paris,starbucks,Starbucks France,48.8699157484125,2.344443669530287,"{'type': 'Point', 'coordinates': [48.8699157484125, 2.344443669530287]}","{'type': 'Point', 'coordinates': [2.344443669530287, 48.8699157484125]}",POINT (2.344443669530287 48.8699157484125)
27,Paris,starbucks,Starbucks,48.862286802882224,2.344508171081543,"{'type': 'Point', 'coordinates': [48.862286802882224, 2.344508171081543]}","{'type': 'Point', 'coordinates': [2.344508171081543, 48.862286802882224]}",POINT (2.344508171081543 48.86228680288222)
28,Paris,starbucks,Starbucks,48.8672289608249,2.3471803218126297,"{'type': 'Point', 'coordinates': [48.8672289608249, 2.3471803218126297]}","{'type': 'Point', 'coordinates': [2.3471803218126297, 48.8672289608249]}",POINT (2.34718032181263 48.8672289608249)
29,Paris,starbucks,Starbucks,48.883562725714086,2.3320841789245605,"{'type': 'Point', 'coordinates': [48.883562725714086, 2.3320841789245605]}","{'type': 'Point', 'coordinates': [2.3320841789245605, 48.883562725714086]}",POINT (2.332084178924561 48.88356272571409)
30,Paris,starbucks,Starbucks,48.87258,2.304283,"{'type': 'Point', 'coordinates': [48.87258, 2.304283]}","{'type': 'Point', 'coordinates': [2.304283, 48.87258]}",POINT (2.304283 48.87258)
31,Paris,starbucks,Starbucks,48.87205438637627,2.340742349624634,"{'type': 'Point', 'coordinates': [48.87205438637627, 2.340742349624634]}","{'type': 'Point', 'coordinates': [2.340742349624634, 48.87205438637627]}",POINT (2.340742349624634 48.87205438637627)
32,Paris,starbucks,Starbucks,48.86108144666417,2.3357267096127337,"{'type': 'Point', 'coordinates': [48.86108144666417, 2.3357267096127337]}","{'type': 'Point', 'coordinates': [2.3357267096127337, 48.86108144666417]}",POINT (2.335726709612734 48.86108144666417)
33,Paris,starbucks,La Croissanterie - niveau quai,48.876258,2.325292,"{'type': 'Point', 'coordinates': [48.876258, 2.325292]}","{'type': 'Point', 'coordinates': [2.325292, 48.876258]}",POINT (2.325292 48.876258)
34,Paris,starbucks,Naked,48.876258,2.325292,"{'type': 'Point', 'coordinates': [48.876258, 2.325292]}","{'type': 'Point', 'coordinates': [2.325292, 48.876258]}",POINT (2.325292 48.876258)
35,Paris,bars,Buddha-Bar Spa,48.869421,2.320564,"{'type': 'Point', 'coordinates': [48.869421, 2.320564]}","{'type': 'Point', 'coordinates': [2.320564, 48.869421]}",POINT (2.320564 48.869421)
36,Paris,bars,Le Bar Sur Le Toit,48.881912,2.339288,"{'type': 'Point', 'coordinates': [48.881912, 2.339288]}","{'type': 'Point', 'coordinates': [2.339288, 48.881912]}",POINT (2.339288 48.881912)
37,Paris,bars,BAR SALLE,48.864655,2.340457,"{'type': 'Point', 'coordinates': [48.864655, 2.340457]}","{'type': 'Point', 'coordinates': [2.340457, 48.864655]}",POINT (2.340457 48.864655)
38,Paris,bars,Bar Signature,48.85689435297181,2.327318080574825,"{'type': 'Point', 'coordinates': [48.85689435297181, 2.327318080574825]}","{'type': 'Point', 'coordinates': [2.327318080574825, 48.85689435297181]}",POINT (2.327318080574825 48.85689435297181)
39,Paris,bars,27 rue André Barsacq,48.885601742962365,2.3393799781836435,"{'type': 'Point', 'coordinates': [48.885601742962365, 2.3393799781836435]}","{'type': 'Point', 'coordinates': [2.3393799781836435, 48.885601742962365]}",POINT (2.339379978183644 48.88560174296236)
40,Paris,bars,ETS LEON BAR SECURITE - Point Fort Fichet  Metz,48.871631,2.355218,"{'type': 'Point', 'coordinates': [48.871631, 2.355218]}","{'type': 'Point', 'coordinates': [2.355218, 48.871631]}",POINT (2.355218 48.871631)
41,Paris,train station,Gare SNCF de Paris Saint-Lazare,48.87671166665712,2.3250675201416016,"{'type': 'Point', 'coordinates': [48.87671166665712, 2.3250675201416016]}","{'type': 'Point', 'coordinates': [2.3250675201416016, 48.87671166665712]}",POINT (2.325067520141602 48.87671166665712)
42,Paris,train station,Train Nomad Paris > Le Havre,48.877026,2.3244913,"{'type': 'Point', 'coordinates': [48.877026, 2.3244913]}","{'type': 'Point', 'coordinates': [2.3244913, 48.877026]}",POINT (2.3244913 48.877026)
43,Paris,train station,Train 13105 Saint-Lazare - Vernon 10:30,48.87625,2.32551,"{'type': 'Point', 'coordinates': [48.87625, 2.32551]}","{'type': 'Point', 'coordinates': [2.32551, 48.87625]}",POINT (2.32551 48.87625)
44,Paris,train station,Train 3131 Paris - Le Havre,48.87752,2.324842,"{'type': 'Point', 'coordinates': [48.87752, 2.324842]}","{'type': 'Point', 'coordinates': [2.324842, 48.87752]}",POINT (2.324842 48.87752)
45,Paris,train station,Train 850005 St Lazare - Vernon 10h45,48.876747,2.325314,"{'type': 'Point', 'coordinates': [48.876747, 2.325314]}","{'type': 'Point', 'coordinates': [2.325314, 48.876747]}",POINT (2.325314 48.876747)
46,Paris,train station,Autolib' Station,48.875489337934,2.3189815878868103,"{'type': 'Point', 'coordinates': [48.875489337934, 2.3189815878868103]}","{'type': 'Point', 'coordinates': [2.3189815878868103, 48.875489337934]}",POINT (2.31898158788681 48.875489337934)
47,Paris,train station,Autolib' Station,48.86714260293412,2.3206043243408203,"{'type': 'Point', 'coordinates': [48.86714260293412, 2.3206043243408203]}","{'type': 'Point', 'coordinates': [2.3206043243408203, 48.86714260293412]}",POINT (2.32060432434082 48.86714260293412)
48,Paris,train station,Trainline EU,48.875326087058966,2.3371633401903553,"{'type': 'Point', 'coordinates': [48.875326087058966, 2.3371633401903553]}","{'type': 'Point', 'coordinates': [2.3371633401903553, 48.875326087058966]}",POINT (2.337163340190355 48.87532608705897)
49,Paris,train station,Autolib Station,48.872683,2.319492,"{'type': 'Point', 'coordinates': [48.872683, 2.319492]}","{'type': 'Point', 'coordinates': [2.319492, 48.872683]}",POINT (2.319492 48.872683)
50,Paris,train station,Boutique Orange - Photo Station,48.874004,2.317052,"{'type': 'Point', 'coordinates': [48.874004, 2.317052]}","{'type': 'Point', 'coordinates': [2.317052, 48.874004]}",POINT (2.317052 48.874004)
51,Paris,train station,Autolib' Station,48.87390323741281,2.3258185386657715,"{'type': 'Point', 'coordinates': [48.87390323741281, 2.3258185386657715]}","{'type': 'Point', 'coordinates': [2.3258185386657715, 48.87390323741281]}",POINT (2.325818538665771 48.87390323741281)
52,Paris,train station,Taxis Station Madeleine,48.87055,2.32284,"{'type': 'Point', 'coordinates': [48.87055, 2.32284]}","{'type': 'Point', 'coordinates': [2.32284, 48.87055]}",POINT (2.32284 48.87055)
53,Paris,train station,Autolib' Station,48.872068500001745,2.3258614540100098,"{'type': 'Point', 'coordinates': [48.872068500001745, 2.3258614540100098]}","{'type': 'Point', 'coordinates': [2.3258614540100098, 48.872068500001745]}",POINT (2.32586145401001 48.87206850000175)
54,Paris,train station,Autolib' Station,48.87072768780425,2.3225784301757812,"{'type': 'Point', 'coordinates': [48.87072768780425, 2.3225784301757812]}","{'type': 'Point', 'coordinates': [2.3225784301757812, 48.87072768780425]}",POINT (2.322578430175781 48.87072768780425)
55,Paris,train station,Autolib' Station,48.875991933484315,2.3141026496887207,"{'type': 'Point', 'coordinates': [48.875991933484315, 2.3141026496887207]}","{'type': 'Point', 'coordinates': [2.3141026496887207, 48.875991933484315]}",POINT (2.314102649688721 48.87599193348431)
56,Paris,train station,Autolib' Station,48.879618718790276,2.3215484619140625,"{'type': 'Point', 'coordinates': [48.879618718790276, 2.3215484619140625]}","{'type': 'Point', 'coordinates': [2.3215484619140625, 48.879618718790276]}",POINT (2.321548461914062 48.87961871879028)
57,Paris,train station,Autolib' Station,48.8682247931461,2.323201501304057,"{'type': 'Point', 'coordinates': [48.8682247931461, 2.323201501304057]}","{'type': 'Point', 'coordinates': [2.323201501304057, 48.8682247931461]}",POINT (2.323201501304057 48.8682247931461)
58,Paris,train station,Victoria Station,48.87167753493195,2.341911158563722,"{'type': 'Point', 'coordinates': [48.87167753493195, 2.341911158563722]}","{'type': 'Point', 'coordinates': [2.341911158563722, 48.87167753493195]}",POINT (2.341911158563722 48.87167753493195)
59,Paris,train station,Autolib' Station,48.87198381818916,2.3130083084106445,"{'type': 'Point', 'coordinates': [48.87198381818916, 2.3130083084106445]}","{'type': 'Point', 'coordinates': [2.3130083084106445, 48.87198381818916]}",POINT (2.313008308410645 48.87198381818916)
60,Paris,train station,Autolib' Station,48.869882910972386,2.32694560499729,"{'type': 'Point', 'coordinates': [48.869882910972386, 2.32694560499729]}","{'type': 'Point', 'coordinates': [2.32694560499729, 48.869882910972386]}",POINT (2.32694560499729 48.86988291097239)
61,Paris,train station,Autolib' Station,48.8796469417693,2.3265480995178223,"{'type': 'Point', 'coordinates': [48.8796469417693, 2.3265480995178223]}","{'type': 'Point', 'coordinates': [2.3265480995178223, 48.8796469417693]}",POINT (2.326548099517822 48.8796469417693)
62,Paris,train station,Autolib' Station,48.88136851337537,2.3206257820129395,"{'type': 'Point', 'coordinates': [48.88136851337537, 2.3206257820129395]}","{'type': 'Point', 'coordinates': [2.3206257820129395, 48.88136851337537]}",POINT (2.320625782012939 48.88136851337537)
63,Paris,train station,Autolib' Station (Boutique),48.87123578928628,2.3291015625,"{'type': 'Point', 'coordinates': [48.87123578928628, 2.3291015625]}","{'type': 'Point', 'coordinates': [2.3291015625, 48.87123578928628]}",POINT (2.3291015625 48.87123578928628)
64,Paris,train station,Autolib' Station,48.87682456503877,2.330260276794433,"{'type': 'Point', 'coordinates': [48.87682456503877, 2.330260276794433]}","{'type': 'Point', 'coordinates': [2.330260276794433, 48.87682456503877]}",POINT (2.330260276794433 48.87682456503877)
65,Paris,train station,Station Leclerc,48.8933738083136,2.3029341227449573,"{'type': 'Point', 'coordinates': [48.8933738083136, 2.3029341227449573]}","{'type': 'Point', 'coordinates': [2.3029341227449573, 48.8933738083136]}",POINT (2.302934122744957 48.8933738083136)
66,Paris,train station,Autolib'Station,48.87384678495731,2.3425233364105225,"{'type': 'Point', 'coordinates': [48.87384678495731, 2.3425233364105225]}","{'type': 'Point', 'coordinates': [2.3425233364105225, 48.87384678495731]}",POINT (2.342523336410522 48.87384678495731)
67,Paris,train station,Autolib' Station,48.87778419099506,2.3109376430511475,"{'type': 'Point', 'coordinates': [48.87778419099506, 2.3109376430511475]}","{'type': 'Point', 'coordinates': [2.3109376430511475, 48.87778419099506]}",POINT (2.310937643051147 48.87778419099506)
68,Paris,train station,Autolib' Station,48.87530041538759,2.3324060440063477,"{'type': 'Point', 'coordinates': [48.87530041538759, 2.3324060440063477]}","{'type': 'Point', 'coordinates': [2.3324060440063477, 48.87530041538759]}",POINT (2.332406044006348 48.87530041538759)
69,Paris,train station,Autolib' Station,48.881707176224424,2.3172783851623535,"{'type': 'Point', 'coordinates': [48.881707176224424, 2.3172783851623535]}","{'type': 'Point', 'coordinates': [2.3172783851623535, 48.881707176224424]}",POINT (2.317278385162354 48.88170717622442)
70,Paris,train station,Autolib' Station,48.8699655259064,2.311978340148926,"{'type': 'Point', 'coordinates': [48.8699655259064, 2.311978340148926]}","{'type': 'Point', 'coordinates': [2.311978340148926, 48.8699655259064]}",POINT (2.311978340148926 48.8699655259064)
